PTGDS_G	1.000000
SOHLH2_G	1.000000
BCL3	50.000000
TMEM43_G	1.000000
SOS1	50.000000
CAMTA2_G	1.000000
IGFBP1_G	1.000000
AQP1_G	1.000000
POLDIP2_G	1.000000
RELA	50.000000
GAGE2A_G	1.000000
KRAS	50.000000
ALPP_G	1.000000
CTCFL	1.000000
EBF1	50.000000
PDGFRA	50.000000
C4A_G	1.000000
MAPK11	50.000000
SLC24A3_G	1.000000
TPPP_G	1.000000
JUN	50.000000
PDGFB	50.000000
MYCN	1.000000
DPM1_G	1.000000
TCF12	50.000000
TCF3	1.000000
SMARCB1	1.000000
TP53	50.000000
NR4A2	1.000000
CREB1	50.000000
BCR	7.000000
SMAD7_G	1.000000
YY1	50.000000
ELK4	1.000000
FGFR2	50.000000
FGFR3	50.000000
FGFR1	50.000000
RET	50.000000
CYLD	50.000000
HMGA1	50.000000
CBLC	7.000000
TCL1A	50.000000
ARC_G	1.000000
PAX5	51.000000
PAX6	1.000000
PAX8	50.000000
DPM2_G	1.000000
CDKN2A	4.000000
TNFAIP1_G	1.000000
NF1	50.000000
USF1	50.000000
AKT1	50.000000
AKT2	50.000000
SUZ12	56.000000
EP300	50.000000
HLF	1.000000
NTRK3	50.000000
FOXD3	1.000000
NRF1	8.000000
KIT	50.000000
NFS1_G	1.000000
RASL10A_G	1.000000
FOXL2_G	1.000000
ESR1	50.000000
CHEK2	50.000000
PNMT_G	1.000000
CEBPG_G	1.000000
GATA2	53.000000
GATA1	2.000000
CD38_G	1.000000
HOXC13_G	1.000000
CREBBP	50.000000
SOS1_G	50.000000
